name,pfs,source,rarity,trait,item_category,item_subcategory,level,price,bulk,usage,spoilers
Deadweight Mutagen (Major),Standard,Treasure Vault pg. 59 <sup>1.1</sup>,Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,
Drakeheart Mutagen (Major),Standard,Player Core 2 pg. 289,Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,
Dread Ampoule (Major),Standard,"Player Core 2 pg. 285, GM Core pg. 245 <sup>2.0</sup>",Common,"Alchemical, Bomb, Consumable, Emotion, Fear, Mental, Poison, Splash",Alchemical Items,Alchemical Bombs,17,"3,000 gp",L,held in 1 hand,
Energy Breath Potion (Greater),Standard,GM Core pg. 259 <sup>2.0</sup>,Common,"Consumable, Magical, Potion",Consumables,Potions,17,"3,000 gp",L,held in 1 hand,
Energy Mutagen (Major),Standard,"Treasure Vault pg. 60 <sup>1.1</sup>, The Fall of Plaguestone pg. 56",Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,
Faerie Dragon Liqueur (Wyrm),Standard,Treasure Vault pg. 89 <sup>1.1</sup>,Uncommon,"Consumable, Enchantment, Magical, Mental, Potion, Uncommon",Consumables,Potions,17,"3,000 gp",L,held in 1 hand,
Frozen Lava of Sakalayo,Standard,GM Core pg. 268 <sup>2.0</sup>,Common,"Consumable, Fire, Magical",Consumables,Other Consumables,17,"3,000 gp",,held in 1 hand,
Greater Swapping Stone,,Pathfinder #166: Despair on Danger Island pg. 75,Uncommon,"Conjuration, Consumable, Magical, Teleportation, Uncommon",Consumables,Other Consumables,17,"3,000 gp",,held in 1 hand,Fists of the Ruby Phoenix
Healing Vapor (Major),Standard,Treasure Vault pg. 54 <sup>1.1</sup>,Common,"Alchemical, Consumable, Healing",Alchemical Items,Alchemical Tools,17,"3,000 gp",L,held in 2 hands,
Juggernaut Mutagen (Major),Standard,Player Core 2 pg. 289,Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,
Meteor Shot (Major),Standard,Guns & Gears pg. 171 <sup>2.0</sup>,Uncommon,"Consumable, Evocation, Fire, Magical, Splash, Uncommon",Consumables,Magical Ammunition,17,"3,000 gp",,,
Moonlit Spellgun (Major),Standard,Treasure Vault pg. 97 <sup>1.1</sup>,Common,"Attack, Consumable, Evocation, Fire, Light, Magical, Spellgun",Consumables,Other Consumables,17,"3,000 gp",L,held in 1 hand,
Pheromone Flare (Greater),Standard,Howl of the Wild pg. 109 <sup>2.0</sup>,Common,"Alchemical, Consumable, Olfactory",Alchemical Items,Alchemical Tools,17,"3,000 gp",1,held in 2 hands,
Prey Mutagen (Major),,Pathfinder #194: Cult of the Cave Worm pg. 79,Rare,"Alchemical, Consumable, Elixir, Mutagen, Polymorph, Rare",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,Sky King's Tomb
Quicksilver Mutagen (Major),Standard,Player Core 2 pg. 290,Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,
Sanguine Mutagen (Major),Standard,Treasure Vault pg. 60 <sup>1.1</sup>,Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,
Serene Mutagen (Major),Standard,Player Core 2 pg. 290,Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,
Silvertongue Mutagen (Major),Standard,Player Core 2 pg. 290,Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,
Spellstrike Ammunition (Type VIII),Standard,GM Core pg. 256 <sup>2.0</sup>,Common,"Consumable, Magical",Consumables,Magical Ammunition,17,"3,000 gp",,,
Spiritual Warhorn (Major),Standard,Treasure Vault pg. 98 <sup>1.1</sup>,Common,"Conjuration, Consumable, Force, Magical",Consumables,Other Consumables,17,"3,000 gp",L,held in 2 hands,
Theatrical Mutagen (Major),Standard,Treasure Vault pg. 61 <sup>1.1</sup>,Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,
Vexing Vapor (Major),Limited,Grand Bazaar pg. 27,Uncommon,"Alchemical, Bomb, Consumable, Inhaled, Mental, Poison, Splash, Uncommon",Alchemical Items,Alchemical Bombs,17,"3,000 gp",L,held in 1 hand,
War Blood Mutagen (Major),Limited,Pathfinder #178: Punks in a Powderkeg pg. 77,Uncommon,"Alchemical, Consumable, Elixir, Mutagen, Polymorph, Uncommon",Alchemical Items,Alchemical Elixirs,17,"3,000 gp",L,held in 1 hand,Outlaws of Alkenstar
Lock (Superior),Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,17,"4,500 gp",,,
Manacles (Superior),Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,17,"5,000 gp",,,
Handcuffs (Superior),,Pathfinder #157: Devil at the Dreaming Palace pg. 77,Uncommon,Uncommon,Adventuring Gear,,17,"6,000 gp",L,held in 1 hand,Agents of Edgewatch
False Witness (Unimpeachable),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,17,"7,500 gp",,,
Sovereign Steel Object (High-Grade),Standard,Legends pg. 77,Rare,"Precious, Rare",Materials,,17,"8,000 gp (per Bulk)",,,
Warpglass Item (High-Grade),,Pathfinder #162: Ruins of the Radiant Siege pg. 74,Rare,"Precious, Rare",Materials,,17,"8,000 gp (per Bulk)",,,Agents of Edgewatch
Keep Stone Object (High-Grade),Standard,Highhelm pg. 113,Rare,"Precious, Rare",Materials,,17,"9,000 gp (per Bulk)",,,
Orichalcum Ingot,Standard,GM Core pg. 254 <sup>2.0</sup>,Rare,"Precious, Rare",Materials,,17,"10,000 gp",,,
Orichalcum Object (High-Grade),Standard,GM Core pg. 254 <sup>2.0</sup>,Rare,"Precious, Rare",Materials,,17,"10,000 gp (per Bulk)",,,
Orichalcum Buckler (High-Grade),Standard,GM Core pg. 233 <sup>2.0</sup>,Rare,Rare,Shields,Precious Material Shields,17,"12,000 gp",L,varies by shield,
Smuggler's Sack (Type V),Standard,Firebrands pg. 87 <sup>2.0</sup>,Uncommon,"Conjuration, Extradimensional, Magical, Uncommon",Held Items,,17,"12,000 gp",1,held in 2 hands,
Brooch of Inspiration (Major),Standard,Grand Bazaar pg. 110,Uncommon,"Divination, Invested, Magical, Uncommon",Worn Items,Other Worn Items,17,"12,500 gp",,worn,
Crystal Ball (Peridot),Standard,GM Core pg. 273 <sup>2.0</sup>,Uncommon,"Magical, Scrying, Uncommon",Held Items,,17,"12,500 gp",L,held in 1 hand,
Humbug Pocket (Greater),Standard,GM Core pg. 290 <sup>2.0</sup>,Common,"Invested, Occult",Worn Items,,17,"12,500 gp",,worn,
Stanching (True),Standard,Grand Bazaar pg. 38,Uncommon,"Magical, Necromancy, Uncommon",Runes,Armor Property Runes,17,"12,500 gp",,etched onto armor,
Impenetrable Scale,Standard,GM Core pg. 230 <sup>2.0</sup>,Uncommon,"Invested, Magical, Uncommon",Armor,Specific Magic Armor,17,"12,800 gp",3,worn armor,
Armbands of Athleticism (Greater),Standard,GM Core pg. 285 <sup>2.0</sup>,Common,"Invested, Magical",Worn Items,Other Worn Items,17,"13,000 gp",L,worn armbands,
Cauldron of Nightmares,,Pathfinder #161: Belly of the Black Whale pg. 78,Rare,"Illusion, Invested, Magical, Rare",Held Items,,17,"13,000 gp",1,held in 2 hands,Agents of Edgewatch
Cloak of the Bat (Greater),Standard,Core Rulebook pg. 608 <sup>4.0</sup>,Common,"Invested, Magical, Transmutation",Worn Items,Other Worn Items,17,"13,000 gp",L,worn cloak,
Clockwork Helm,,Pathfinder #161: Belly of the Black Whale pg. 79,Rare,"Clockwork, Invested, Magical, Rare",Worn Items,Other Worn Items,17,"13,000 gp",L,worn headwear,Agents of Edgewatch
Entertainer's Cincture (Greater),Standard,GM Core pg. 289 <sup>2.0</sup>,Common,"Focused, Invested, Occult",Worn Items,,17,"13,000 gp",,worn belt,
Gearblade,,Pathfinder #161: Belly of the Black Whale pg. 79,Rare,"Clockwork, Invested, Magical, Rare",Weapons,Specific Magic Weapons,17,"13,000 gp",2,held in 1 or 2 hands,Agents of Edgewatch
Hell Staff,Standard,Treasure Vault pg. 132 <sup>1.1</sup>,Uncommon,"Conjuration, Evil, Magical, Staff, Uncommon",Staves,,17,"13,000 gp",1,held in 1 hand,
Mantis Embrace (Greater),,Prey for Death pg. 104,Uncommon,"Invested, Magical, Uncommon",Worn Items,Other Worn Items,17,"13,000 gp",L,worn gloves,Prey for Death
Phylactery of Faithfulness (Greater),Standard,Core Rulebook pg. 614 <sup>4.0</sup>,Common,"Divination, Divine, Invested",Worn Items,Other Worn Items,17,"13,000 gp",L,worn circlet,
Robe of Eyes,Limited,Core Rulebook pg. 615 <sup>4.0</sup>,Uncommon,"Divination, Invested, Magical, Uncommon",Worn Items,Other Worn Items,17,"13,000 gp",1,worn garment,
Sanguine Pendant (Greater),Standard,Player Core 2 pg. 310,Common,"Focused, Invested, Magical",Worn Items,,17,"13,000 gp",,worn,
Sash of Prowess (Greater),Standard,Player Core 2 pg. 310,Common,"Focused, Invested, Magical",Worn Items,,17,"13,000 gp",,worn,
Tradecraft Tattoo (Greater),Standard,Treasure Vault pg. 122 <sup>1.1</sup>,Common,"Conjuration, Invested, Magical, Tattoo",Tattoos,,17,"13,000 gp",,tattooed on the body,
Wyrm Drinker,,Pathfinder #173: Doorway to the Red Star pg. 75,Unique,"Conjuration, Magical, Staff, Unique",Staves,,17,"13,000 gp",1,held in 1 hand,Strength of Thousands
Zealot Staff,Standard,Treasure Vault pg. 135 <sup>1.1</sup>,Common,"Evocation, Magical, Staff",Staves,,17,"13,000 gp",1,held in 1 hand,
Keep Stone Shield (High-Grade),Standard,Highhelm pg. 113,Rare,Rare,Shields,Precious Material Shields,17,"13,200 gp",1,varies by shield,
Orichalcum Shield (High-Grade),Standard,GM Core pg. 233 <sup>2.0</sup>,Rare,Rare,Shields,Precious Material Shields,17,"13,200 gp",1,varies by shield,
Accolade Robe (Greater),Standard,GM Core pg. 284 <sup>2.0</sup>,Common,"Arcane, Focused, Invested",Worn Items,Other Worn Items,17,"13,500 gp",L,worn garment,
Adamantine Weapon (High-Grade),Standard,GM Core pg. 240 <sup>2.0</sup>,Uncommon,Uncommon,Weapons,Precious Material Weapons,17,"13,500 gp (+1350 gp per Bulk)",,varies by weapon,
Boots of Free Running (Greater),Standard,Firebrands pg. 84 <sup>2.0</sup>,Uncommon,"Invested, Magical, Transmutation, Uncommon",Worn Items,Other Worn Items,17,"13,500 gp",1,worn shoes,
Boreal Staff (Major),Standard,Treasure Vault pg. 131 <sup>1.1</sup>,Common,"Evocation, Magical, Staff",Staves,,17,"13,500 gp",1,held in 1 hand,
Dawnsilver Weapon (High-Grade),Standard,GM Core pg. 240 <sup>2.0</sup>,Uncommon,Uncommon,Weapons,Precious Material Weapons,17,"13,500 gp (+1350 gp per Bulk)",,varies by weapon,
Duskwood Weapon (High-Grade),Standard,GM Core pg. 240 <sup>2.0</sup>,Uncommon,Uncommon,Weapons,Precious Material Weapons,17,"13,500 gp (+1350 gp per Bulk)",,varies by weapon,
Ethereal,Standard,Core Rulebook pg. 582 <sup>4.0</sup>,Uncommon,"Conjuration, Magical, Uncommon",Runes,Armor Property Runes,17,"13,500 gp",,etched onto armor,
Insistent Door Knocker (Major),Standard,Character Guide pg. 72 <sup>2.0</sup>,Common,"Conjuration, Magical",Held Items,,17,"13,500 gp",1,held in 1 hand,
Inubrix Weapon (High-Grade),Standard,Grand Bazaar pg. 99,Rare,Rare,Weapons,Precious Material Weapons,17,"13,500 gp (+1,350 gp per Bulk)",,varies by weapon,
Messenger's Ring (Greater),Standard,GM Core pg. 292 <sup>2.0</sup>,Common,"Invested, Magical",Worn Items,Other Worn Items,17,"13,500 gp",,worn,
Queasy Lantern (Greater),Standard,Grand Bazaar pg. 38,Uncommon,"Light, Magical, Necromancy, Uncommon",Held Items,,17,"13,500 gp",1,held in 1 hand,
Rustbringer (Greater),Standard,Rage of Elements pg. 147 <sup>2.0</sup>,Common,"Magical, Metal",Weapons,Specific Magic Weapons,17,"13,500 gp",1,held in 1 hand,
Shining Symbol (Major),Standard,GM Core pg. 295 <sup>2.0</sup>,Common,"Divine, Invested, Light",Worn Items,,17,"13,500 gp",,worn,
Wyrm on the Wing (Major),Standard,Treasure Vault pg. 123 <sup>1.1</sup>,Common,"Abjuration, Invested, Magical, Tattoo",Tattoos,,17,"13,500 gp",,tattooed on the body,
Broadleaf Shield (True),Standard,Rage of Elements pg. 200 <sup>2.0</sup>,Common,"Magical, Plant, Wood",Shields,Specific Shields,17,"13,750 gp",L,held in 1 hand,
Searing Blade (Greater),Standard,GM Core pg. 243 <sup>2.0</sup>,Common,"Fire, Magical",Weapons,Specific Magic Weapons,17,"13,800 gp",1,held in 1 hand,
Celestial Staff,Standard,Treasure Vault pg. 131 <sup>1.1</sup>,Uncommon,"Good, Magical, Staff, Transmutation, Uncommon",Staves,,17,"14,000 gp",1,held in 1 hand,
Cultist Cowl (Major),,Pathfinder #200: Seven Dooms for Sandpoint pg. 181,Uncommon,"Enchantment, Magical, Uncommon",Worn Items,Other Worn Items,17,"14,000 gp",,worn cloak,Seven Dooms for Sandpoint
Daredevil Boots (Greater),Standard,GM Core pg. 288 <sup>2.0</sup>,Common,"Invested, Magical",Worn Items,Other Worn Items,17,"14,000 gp",L,worn shoes,
Elysian Clairglass,,Prey for Death pg. 103,Rare,"Magical, Rare, Scrying",Held Items,,17,"14,000 gp",1,held in 2 hands,Prey for Death
Fossil Fragment (Tyrannosaur Tooth),Standard,Rage of Elements pg. 98 <sup>2.0</sup>,Common,"Earth, Magical",Held Items,,17,"14,000 gp",L,held in 1 hand,
Jerkin of Liberation,Limited,Pathfinder #156: The Apocalypse Prophet pg. 74,Uncommon,"Abjuration, Invested, Magical, Uncommon",Armor,Specific Magic Armor,17,"14,000 gp",1,worn armor,Extinction Curse
Judgement Thurible (Greater),Standard,Treasure Vault pg. 126 <sup>1.1</sup>,Common,"Evocation, Magical, Spellheart",Spellhearts,,17,"14,000 gp",,affixed to armor or a weapon,
Noqual Buckler (High-Grade),Standard,Grand Bazaar pg. 100,Rare,Rare,Shields,Precious Material Shields,17,"14,000 gp",L,varies by shield,
Prismatic Plate,Standard,Grand Bazaar pg. 85,Uncommon,"Abjuration, Invested, Magical, Uncommon",Armor,Specific Magic Armor,17,"14,000 gp",1,worn armor,
Shadow (Major),Standard,GM Core pg. 227 <sup>2.0</sup>,Common,"Magical, Shadow",Runes,Armor Property Runes,17,"14,000 gp",,etched onto light or medium armor,
Wand of Toxic Blades (7th-Level Spell),Standard,Treasure Vault pg. 143 <sup>1.1</sup>,Common,"Evocation, Force, Magical, Poison, Wand",Wands,Specialty Wands,17,"14,000 gp",L,held in 1 hand,
Warpglass Weapon (High-Grade),,Pathfinder #162: Ruins of the Radiant Siege pg. 75,Rare,Rare,Weapons,Precious Material Weapons,17,"14,000 gp (+ 1,400 gp per Bulk)",,,Agents of Edgewatch
Codebreaker's Parchment (Major),Standard,Secrets of Magic pg. 182 <sup>1.1</sup>,Common,"Illusion, Magical",Held Items,,17,"14,500 gp",L,held in 2 hands,
Cursebreak Bulwark,Standard,Grand Bazaar pg. 18,Uncommon,"Abjuration, Magical, Uncommon",Shields,Specific Shields,17,"14,500 gp",4,held in 1 hand,
Flashblade (Major),Standard,Tian Xia Character Guide pg. 128,Common,Magical,Weapons,Specific Magic Weapons,17,"14,700 gp",2,held in 2 hands,
Voyager's Pack,Standard,GM Core pg. 297 <sup>2.0</sup>,Uncommon,"Invested, Magical, Uncommon",Worn Items,Other Worn Items,17,"14,800 gp",,worn backpack,
Aeon  Stone (Black Disc),,Pathfinder #185: A Taste of Ashes pg. 77,Uncommon,"Invested, Magical, Transmutation, Uncommon",Worn Items,Other Worn Items,17,"15,000 gp",,worn,Blood Lords
Alchemist Goggles (Major),Standard,"Core Rulebook pg. 605 <sup>4.0</sup>, Player Core 2 pg. 310",Common,"Invested, Magical, Transmutation",Worn Items,Other Worn Items,17,"15,000 gp",,worn eyepiece,
Alchemist Goggles (Major),Standard,"Player Core 2 pg. 310, Core Rulebook pg. 605 <sup>4.0</sup>",Common,"Invested, Magical",Worn Items,,17,"15,000 gp",,worn eyepiece,
Amulet of the Third Eye,Standard,Treasure Vault pg. 102 <sup>1.1</sup>,Common,"Apex, Divination, Invested, Magical",Worn Items,Other Worn Items,17,"15,000 gp",L,worn amulet,
Armbands of the Gorgon,Standard,Treasure Vault pg. 102 <sup>1.1</sup>,Common,"Apex, Invested, Magical, Transmutation",Worn Items,Other Worn Items,17,"15,000 gp",L,worn armbands,
Artificer Spectacles,Standard,Treasure Vault pg. 102 <sup>1.1</sup>,Common,"Apex, Divination, Invested, Magical",Worn Items,Other Worn Items,17,"15,000 gp",,worn eyeglasses,
Avalanche Boots,Standard,Treasure Vault pg. 102 <sup>1.1</sup>,Common,"Apex, Invested, Magical, Transmutation",Worn Items,Other Worn Items,17,"15,000 gp",1,worn boots,
Bangles of Crowns,Limited,Pathfinder #192: Worst of All Possible Worlds pg. 69,Rare,"Apex, Enchantment, Invested, Magical, Rare",Worn Items,Other Worn Items,17,"15,000 gp",L,worn,Stolen Fate
Belt of Long Life,Standard,GM Core pg. 270 <sup>2.0</sup>,Common,"Apex, Invested, Magical",Worn Items,Other Worn Items,17,"15,000 gp",,worn belt,
Bracers of Hammers,Limited,Pathfinder #192: Worst of All Possible Worlds pg. 69,Rare,"Apex, Invested, Magical, Rare, Transmutation",Worn Items,Other Worn Items,17,"15,000 gp",L,worn bracers,Stolen Fate
Bracers of Strength,Standard,GM Core pg. 270 <sup>2.0</sup>,Common,"Apex, Invested, Magical",Worn Items,Other Worn Items,17,"15,000 gp",,worn bracers,
Celestial Peachwood Sword,Standard,"Tian Xia Character Guide pg. 128, Book of the Dead pg. 18",Rare,"Holy, Magical, Rare, Vitality",Weapons,Specific Magic Weapons,17,"15,000 gp",L,held in 1 hand,
Chronomancer Staff,Standard,Treasure Vault pg. 131 <sup>1.1</sup>,Rare,"Divination, Magical, Rare, Staff",Staves,,17,"15,000 gp",1,held in 1 hand,
Cloak of Swiftness,Standard,GM Core pg. 270 <sup>2.0</sup>,Common,"Apex, Invested, Magical",Worn Items,Other Worn Items,17,"15,000 gp",,worn cloak,
Coronet of Stars,Limited,Pathfinder #192: Worst of All Possible Worlds pg. 69,Rare,"Apex, Invested, Magical, Necromancy, Rare",Worn Items,Other Worn Items,17,"15,000 gp",L,worn headwear,Stolen Fate
Cowl of Keys,Limited,Pathfinder #192: Worst of All Possible Worlds pg. 70,Rare,"Apex, Conjuration, Invested, Magical, Rare",Worn Items,Other Worn Items,17,"15,000 gp",L,worn cloak,Stolen Fate
Crimson Tome,,Prey for Death pg. 103,Rare,"Grimoire, Illusion, Rare",Grimoires,,17,"15,000 gp",L,held in 1 hand,Prey for Death
Crown of Intellect,Standard,GM Core pg. 270 <sup>2.0</sup>,Common,"Apex, Invested, Magical",Worn Items,Other Worn Items,17,"15,000 gp",,worn circlet,
Dread Blindfold,Standard,GM Core pg. 289 <sup>2.0</sup>,Common,"Emotion, Fear, Invested, Magical, Mental",Worn Items,Other Worn Items,17,"15,000 gp",,worn eyepiece,
Eternal Eruption of Sakalayo,Standard,GM Core pg. 273 <sup>2.0</sup>,Common,"Fire, Magical",Held Items,,17,"15,000 gp",L,held in 1 hand,
Eye Slash (True),Standard,Treasure Vault pg. 120 <sup>1.1</sup>,Common,"Divination, Invested, Magical, Tattoo",Tattoos,,17,"15,000 gp",,tattooed on the body,
Gate Attenuator (Major),Standard,Rage of Elements pg. 224 <sup>2.0</sup>,Common,"Apex, Invested, Magical",Worn Items,Other Worn Items,17,"15,000 gp",,worn,
Headwrap of Wisdom,Standard,GM Core pg. 270 <sup>2.0</sup>,Common,"Apex, Invested, Magical",Worn Items,Other Worn Items,17,"15,000 gp",,worn circlet,
Impactful (Greater),Standard,Secrets of Magic pg. 185 <sup>1.1</sup>,Common,"Evocation, Force, Magical",Runes,Weapon Property Runes,17,"15,000 gp",,etched onto a weapon,
Leydroth Spellbreaker,Standard,Howl of the Wild pg. 105 <sup>2.0</sup>,Rare,"Magical, Rare",Weapons,Beast Guns,17,"15,000 gp",2,held in 2 hands,
Luck Blade,Standard,Core Rulebook pg. 601 <sup>4.0</sup>,Rare,"Divination, Fortune, Magical, Rare",Weapons,Specific Magic Weapons,17,"15,000 gp",L,held in 1 hand,
Magic Wand (8th-rank Spell),Standard,GM Core pg. 282 <sup>2.0</sup>,Common,"Magical, Wand",Wands,Magic Wands,17,"15,000 gp",L,held in 1 hand,
Necklace of Allure,Standard,GM Core pg. 271 <sup>2.0</sup>,Common,"Apex, Invested, Magical",Worn Items,Other Worn Items,17,"15,000 gp",,worn,
Ouroboros Flail (Greater),Standard,Secrets of Magic pg. 187 <sup>1.1</sup>,Common,"Magical, Transmutation",Weapons,Specific Magic Weapons,17,"15,000 gp",2,held in 2 hands,
Phantom Shroud,,Pathfinder #185: A Taste of Ashes pg. 78,Uncommon,"Conjuration, Invested, Magical, Uncommon",Worn Items,Other Worn Items,17,"15,000 gp",L,worn cloak,Blood Lords
Pilferer's Gloves,Standard,Treasure Vault pg. 104 <sup>1.1</sup>,Common,"Apex, Invested, Magical, Transmutation",Worn Items,Other Worn Items,17,"15,000 gp",L,worn gloves,
Sash of Books,Limited,Pathfinder #192: Worst of All Possible Worlds pg. 70,Rare,"Apex, Divination, Invested, Magical, Rare",Worn Items,Other Worn Items,17,"15,000 gp",L,worn garment,Stolen Fate
Scapular of Shields,Limited,Pathfinder #192: Worst of All Possible Worlds pg. 70,Rare,"Abjuration, Apex, Invested, Magical, Rare",Worn Items,Other Worn Items,17,"15,000 gp",L,worn garment,Stolen Fate
Screech Shooter (Major),Standard,Guns & Gears pg. 155 <sup>2.0</sup>,Uncommon,"Evocation, Magical, Uncommon",Weapons,Beast Guns,17,"15,000 gp",2,held in 2 hands,
Siccatite Weapon (High-Grade),Standard,Grand Bazaar pg. 101,Rare,Rare,Weapons,Precious Material Weapons,17,"15,000 gp (+1,500 gp per Bulk)",,varies by weapon,
Spellcutter,,Pathfinder #173: Doorway to the Red Star pg. 76,Unique,"Abjuration, Cursed, Magical, Unique",Weapons,Specific Magic Weapons,17,"15,000 gp",1,held in 1 hand,Strength of Thousands
Splinter Spear (Greater),Standard,Rage of Elements pg. 202 <sup>2.0</sup>,Common,"Magical, Wood",Weapons,Specific Magic Weapons,17,"15,000 gp",L,held in 1 hand,
Swooping Wings,Standard,Howl of the Wild pg. 99 <sup>2.0</sup>,Common,"Graft, Invested, Magical",Grafts,,17,"15,000 gp",1,implanted,
Tentacle Cannon (Major),Standard,Guns & Gears pg. 156 <sup>2.0</sup>,Uncommon,"Evocation, Magical, Uncommon",Weapons,Beast Guns,17,"15,000 gp",2,held in 2 hands,
Troubadour's Cap,Standard,Treasure Vault pg. 104 <sup>1.1</sup>,Common,"Apex, Enchantment, Invested, Magical",Worn Items,Other Worn Items,17,"15,000 gp",,worn cap,
Vorpal,Standard,GM Core pg. 239 <sup>2.0</sup>,Rare,"Magical, Rare",Runes,Weapon Property Runes,17,"15,000 gp",,etched onto a slashing melee weapon,
Wand of Continuation (7th-rank Spell),Standard,GM Core pg. 282 <sup>2.0</sup>,Common,"Magical, Wand",Wands,Specialty Wands,17,"15,000 gp",L,held in 1 hand,
Wand of Overflowing Life (7th-Rank Spell),Standard,Player Core 2 pg. 309,Common,"Healing, Magical, Vitality, Wand",Wands,,17,"15,000 gp",L,held in 1 hand,
Wand of Shardstorm (7th-rank Spell),Standard,GM Core pg. 283 <sup>2.0</sup>,Common,"Force, Magical, Wand",Wands,Specialty Wands,17,"15,000 gp",L,held in 1 hand,
Wand of Thundering Echoes (7th-Level),Standard,Grand Bazaar pg. 85,Uncommon,"Evocation, Magical, Sonic, Uncommon, Wand",Wands,Specialty Wands,17,"15,000 gp",L,held in 1 hand,
Wildwood Ink (Major),Standard,Treasure Vault pg. 123 <sup>1.1</sup>,Common,"Invested, Primal, Tattoo, Transmutation",Tattoos,,17,"15,000 gp",,tattooed on the body,
Witchwyrd Beacon,,Pathfinder #191: The Destiny War pg. 71,Rare,"Conjuration, Magical, Rare",Held Items,,17,"15,000 gp",3,held in 2 hands,Stolen Fate
Noqual Shield (High-Grade),Standard,Grand Bazaar pg. 100,Rare,Rare,Shields,Precious Material Shields,17,"15,400 gp",1,varies by shield,
Magnetite Scope (Greater),Standard,Guns & Gears pg. 181 <sup>2.0</sup>,Common,"Magical, Transmutation",Customizations,Scopes,17,"16,000 gp",L,attached to firearm (scope),
Magnifying Scope (Major),Standard,Guns & Gears pg. 181 <sup>2.0</sup>,Common,"Divination, Magical",Customizations,Scopes,17,"16,000 gp",L,attached to firearm or crossbow (scope),
Cloak of Repute (Major),Standard,Character Guide pg. 72 <sup>2.0</sup>,Common,"Enchantment, Invested, Magical",Worn Items,Other Worn Items,17,"21,750 gp",1,worn cloak,
Unmemorable Mantle (Major),Standard,Character Guide pg. 73 <sup>2.0</sup>,Common,"Illusion, Invested, Magical",Worn Items,Other Worn Items,17,"21,750 gp",1,worn cloak,
Vonthos's Golden Bridge,Restricted,Guns & Gears pg. 99 <sup>2.0</sup>,Unique,Unique,Vehicles,,17,"50,000 gp",,,
Poisonous Cloak Type IV,,Gamemastery Guide pg. 91,Rare,"Cursed, Invested, Magical, Rare, Transmutation",Cursed Items,,17,,L,worn cloak,
Stone of Unrivaled Skill,Standard,Dark Archive pg. 165,Rare,"Contract, Invested, Magical, Rare",Contracts,Bargained Contracts,17,,,,
Tattletale Orb (Peridot),,Treasure Vault pg. 193 <sup>1.1</sup>,Rare,"Cursed, Divination, Magical, Rare, Scrying",Cursed Items,,17,,1,held in 1 hand,
Cayden's Brew (Triple),Standard,Treasure Vault pg. 88 <sup>1.1</sup>,Common,"Conjuration, Consumable, Magical, Poison, Potion",Consumables,Potions,18,"3,200 gp",L,held in 1 hand,
Depth Charge (VII),Standard,Treasure Vault pg. 81 <sup>1.1</sup>,Common,"Consumable, Evocation, Magical",Consumables,Magical Ammunition,18,"3,200 gp",,,
Absolute Solvent (Greater),Standard,Player Core 2 pg. 295,Common,"Alchemical, Consumable",Alchemical Items,Alchemical Tools,18,"3,250 gp",L,held in 1 hand,
Bottled Catharsis (Major),Standard,Player Core 2 pg. 286,Common,"Alchemical, Consumable, Elixir, Healing",Alchemical Items,Alchemical Elixirs,18,"3,250 gp",L,held in 1 hand,
Ooze Ammunition (Major),Limited,Treasure Vault pg. 43 <sup>1.1</sup>,Common,"Acid, Alchemical, Consumable",Alchemical Items,Alchemical Ammunition,18,"3,250 gp",,,
Sinew-Shock Serum (Major),Standard,Advanced Player's Guide pg. 254 <sup>2.0</sup>,Common,"Alchemical, Consumable, Elixir, Healing",Alchemical Items,Alchemical Elixirs,18,"3,250 gp",L,held in 1 hand,
Surging Serum (Major),Standard,Player Core 2 pg. 288,Common,"Alchemical, Consumable, Elixir, Healing",Alchemical Items,Alchemical Elixirs,18,"3,250 gp",L,held in 1 hand,
